epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9525.24,1.65153,1.93044,1.52755,0.35579,0.32325,0.25595,0.12793,1.81721,2.02414,1.64406,0.004456,0.004456,0.004456
58,9687.25,1.65737,1.92699,1.52608,0.35466,0.32365,0.25636,0.12827,1.81541,2.02314,1.64192,0.004357,0.004357,0.004357
59,9852.66,1.6364,1.91737,1.51875,0.3553,0.32426,0.25641,0.12833,1.817,2.02362,1.6431,0.004258,0.004258,0.004258
60,10015.4,1.63694,1.91137,1.51354,0.35713,0.32142,0.2571,0.1288,1.81734,2.02389,1.64214,0.004159,0.004159,0.004159
61,10177.1,1.63022,1.90656,1.51345,0.35244,0.32401,0.25773,0.12898,1.81786,2.02068,1.64187,0.00406,0.00406,0.00406
62,10345.1,1.6349,1.89517,1.50841,0.35712,0.32345,0.25808,0.1293,1.81752,2.02126,1.6411,0.003961,0.003961,0.003961
63,10510.1,1.62379,1.89401,1.50522,0.35624,0.32142,0.25796,0.12955,1.81747,2.02059,1.64103,0.003862,0.003862,0.003862
64,10675.7,1.63525,1.89725,1.50982,0.35651,0.3198,0.25801,0.1295,1.81692,2.02024,1.64083,0.003763,0.003763,0.003763
65,10839.1,1.61974,1.87787,1.5049,0.35486,0.32377,0.25741,0.12901,1.81713,2.02065,1.64112,0.003664,0.003664,0.003664
66,11001.2,1.62491,1.86875,1.50867,0.35659,0.32305,0.25701,0.12934,1.81652,2.02197,1.64086,0.003565,0.003565,0.003565
67,11165.2,1.61608,1.85482,1.49963,0.35786,0.3202,0.25697,0.12911,1.81704,2.02205,1.64108,0.003466,0.003466,0.003466
68,11329.4,1.60712,1.85599,1.49126,0.35789,0.32081,0.2568,0.12907,1.81684,2.02209,1.64058,0.003367,0.003367,0.003367
69,11494.6,1.61756,1.85385,1.50557,0.35769,0.32081,0.25716,0.12891,1.81754,2.02189,1.64123,0.003268,0.003268,0.003268
70,11656.2,1.60821,1.83831,1.4906,0.35698,0.319,0.25653,0.12887,1.81878,2.02184,1.64191,0.003169,0.003169,0.003169
71,11813.8,1.61455,1.84218,1.49008,0.35642,0.31959,0.25654,0.12873,1.81904,2.02273,1.64238,0.00307,0.00307,0.00307
72,11976.2,1.60316,1.8201,1.48744,0.35513,0.31959,0.25632,0.12896,1.82013,2.02332,1.64338,0.002971,0.002971,0.002971
73,12143.1,1.58902,1.80189,1.48224,0.35743,0.31919,0.25615,0.12881,1.8211,2.0238,1.64374,0.002872,0.002872,0.002872
74,12309.9,1.59913,1.80296,1.48359,0.35408,0.32142,0.25631,0.12875,1.82225,2.02482,1.64423,0.002773,0.002773,0.002773
75,12468.5,1.56806,1.79641,1.47479,0.35326,0.32183,0.2559,0.12859,1.82298,2.02588,1.64493,0.002674,0.002674,0.002674
76,12628.9,1.57794,1.77444,1.4739,0.35425,0.31919,0.25565,0.12841,1.82389,2.0266,1.64514,0.002575,0.002575,0.002575
77,12789.6,1.58081,1.781,1.47544,0.35481,0.32061,0.25509,0.12839,1.82481,2.02655,1.64606,0.002476,0.002476,0.002476
78,12956.9,1.57402,1.76479,1.46639,0.35244,0.32225,0.2549,0.12842,1.82489,2.02741,1.64599,0.002377,0.002377,0.002377
79,13126.1,1.57082,1.76635,1.469,0.35428,0.3198,0.25476,0.1281,1.82483,2.02798,1.64608,0.002278,0.002278,0.002278
80,13282.9,1.56102,1.75958,1.46453,0.35266,0.31939,0.25441,0.12808,1.82528,2.02869,1.64643,0.002179,0.002179,0.002179
81,13443.7,1.57285,1.77091,1.46239,0.35204,0.32162,0.25459,0.12803,1.82567,2.02903,1.64685,0.00208,0.00208,0.00208
82,13608.1,1.56132,1.7391,1.45573,0.35341,0.32122,0.25442,0.12796,1.82591,2.02899,1.6471,0.001981,0.001981,0.001981
83,13768.6,1.56401,1.7414,1.45425,0.3508,0.32142,0.25396,0.12778,1.82598,2.02949,1.64718,0.001882,0.001882,0.001882
84,13925.5,1.55543,1.73866,1.45261,0.34985,0.32244,0.2538,0.12781,1.82644,2.02974,1.64743,0.001783,0.001783,0.001783
85,14094.5,1.54666,1.7181,1.44645,0.34856,0.32203,0.25357,0.12721,1.82674,2.03013,1.6475,0.001684,0.001684,0.001684
86,14263.8,1.55014,1.70888,1.43705,0.34751,0.32183,0.2534,0.12709,1.82754,2.03057,1.64797,0.001585,0.001585,0.001585
87,14430.1,1.54216,1.69896,1.44319,0.34619,0.32467,0.25325,0.1269,1.82783,2.03093,1.64807,0.001486,0.001486,0.001486
88,14600.8,1.53711,1.70076,1.44183,0.34586,0.32487,0.25303,0.12675,1.82845,2.03206,1.64853,0.001387,0.001387,0.001387
89,14773.5,1.53934,1.69253,1.43794,0.34512,0.32625,0.25282,0.1266,1.82893,2.03367,1.64869,0.001288,0.001288,0.001288
90,14943.1,1.54055,1.69198,1.44306,0.34456,0.3267,0.25303,0.12655,1.82924,2.03461,1.64855,0.001189,0.001189,0.001189
91,15158.7,1.5641,1.65382,1.46715,0.34355,0.32666,0.25281,0.12645,1.82956,2.03591,1.64856,0.00109,0.00109,0.00109
92,15328.8,1.54957,1.61926,1.4607,0.34333,0.32812,0.25259,0.12618,1.83009,2.03707,1.64899,0.000991,0.000991,0.000991
93,15499.6,1.54288,1.60931,1.46103,0.34151,0.32853,0.25268,0.12609,1.83046,2.03827,1.64891,0.000892,0.000892,0.000892
94,15671.7,1.53152,1.59657,1.45033,0.34176,0.32995,0.25273,0.12605,1.83081,2.03927,1.6491,0.000793,0.000793,0.000793
95,15843.4,1.52519,1.58107,1.44456,0.34091,0.32975,0.25248,0.12607,1.83177,2.04015,1.64957,0.000694,0.000694,0.000694
96,16012.1,1.52335,1.56415,1.4376,0.34037,0.32877,0.25241,0.12598,1.832,2.04099,1.64994,0.000595,0.000595,0.000595
97,16179.7,1.52286,1.54685,1.43603,0.34011,0.32873,0.25187,0.12575,1.83236,2.04211,1.65007,0.000496,0.000496,0.000496
98,16346.5,1.50914,1.53856,1.43438,0.34129,0.32792,0.25177,0.12581,1.83305,2.04323,1.65041,0.000397,0.000397,0.000397
99,16516.8,1.51177,1.52895,1.43547,0.34228,0.32751,0.25156,0.12569,1.83401,2.04487,1.65099,0.000298,0.000298,0.000298
100,16684.6,1.50869,1.53755,1.43087,0.34352,0.32447,0.25117,0.12553,1.83495,2.04666,1.65185,0.000199,0.000199,0.000199
